业务规则名称,生文指令,内容方向,活动素材,奖品素材,批批检素材,卖点表达,卖点表达说明,硬边界,写法,示例
"月子中心｜活动收获开场","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","从这次月子中心活动收获挺多写起，带出自己原本给新生儿选奶没有方向；写老师分享后记住a2至初的A2型蛋白质和检测报告，联系到自己不希望宝宝喝奶后小肚肚不适应，最后落在选择标准更明确或更倾向a2至初。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","活动结束后回房间，脑子里还在过老师讲的新生儿奶粉怎么选。"
"月子中心｜检测报告最有印象","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","先写活动里a2至初的检测报告最让自己有印象，再解释为什么这个可自行查看的依据正好接住自己给新生儿选奶的关注点；自然带到a2至初的A2型蛋白质和小肚肚适应考虑，最后只做一次选择判断。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","老师讲到检测报告能自己看时，我一下认真起来了。"
"月子中心｜新手选奶没方向","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写新手妈妈面对新生儿奶粉信息太多、还没想好怎么选，参加月子中心活动后才理清一个产品理由和一个品质依据；产品理由是a2至初的A2型蛋白质，品质依据是检测报告，最后落在选择范围被缩小。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","之前看新生儿奶粉看得头大，听完总算知道先看什么。"
"月子中心｜老师讲解后理清","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","以老师在月子中心讲新生儿奶粉选择知识为主场景，写自己为什么认真听、记住了什么；只展开a2至初的A2型蛋白质和检测报告两点，再写自己对宝宝小肚肚适应的考虑和选择判断。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","老师讲第一口奶怎么选，我低头记了两个点。"
"月子中心｜和其他宝妈聊出来","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","从活动里和其他宝妈聊天写起，聊到大家给新生儿选奶时都在看什么；再由自己的关注点带出a2至初的A2型蛋白质和检测报告，不能让其他宝妈口碑直接证明产品，最后写自己的选择范围更清楚。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","旁边妈妈也在纠结第一口奶，我们就小声聊了几句。"
"月子中心｜现场提问得到答案","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写自己在月子中心活动上提了一个给新生儿选奶的问题，提问来自不希望宝宝喝奶后小肚肚不适应；老师回答后自己记住a2至初的A2型蛋白质，并查看检测报告，最后总结这次提问帮自己确认了选择标准。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","轮到提问时，我把最想问的新生儿奶粉问题说了。"
"月子中心｜活动后回房回想","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","活动结束后回到月子中心房间，写自己还在回想老师讲的新生儿奶粉知识；从一个最有印象的检测报告细节带到a2至初的A2型蛋白质和小肚肚适应考虑，最后写第一口奶方向更明确。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","回房间坐下以后，刚才那几个选奶点又在脑子里转了一遍。"
"月子中心｜朋友宝妈拉去","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写在月子中心认识的宝妈拉自己一起参加活动，原本只是想听点新生儿奶粉知识；现场听完后，用a2至初的A2型蛋白质和检测报告回应自己的选奶关注，朋友只负责活动入口，不能负责产品背书。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","隔壁房的宝妈喊我一起去听，我就跟着去了。"
"月子中心｜原以为奶粉都差不多","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","从自己原来觉得新生儿奶粉都差不多写起，参加月子中心活动后才意识到可以看蛋白类型和检测报告；用a2至初的A2型蛋白质承接小肚肚适应考虑，用检测报告承接品质判断，最后写自己的看法发生变化。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","我之前真觉得新生儿奶粉差别没多大，听完才发现不是。"
"月子中心｜原以为活动没用","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","先写自己本来觉得月子中心这种活动可能没什么用，参加后却记住了一个选奶理由和一个可查看的依据；分别是a2至初的A2型蛋白质与检测报告，再写这两个信息怎样帮自己缩小选择范围。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","本来以为就是坐着听听，结果还真记住了几个实用点。"
